Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
1,Connor McDavid,26,EDM,C,18,16,18,34,3,10,4.0,9,7,0,3,9,9,0,71,22.5,400,22:14,8,22,115,99,53.7,mcdavco01
2,Leon Draisaitl,27,EDM,C,18,10,20,30,4,10,3.1,4,6,0,3,11,8,1,58,17.2,397,22:04,17,9,214,182,54.0,draisle01
3,Erik Karlsson,32,SJS,D,20,11,17,28,2,6,4.6,10,1,0,3,12,5,0,62,17.7,506,25:17,19,9,0,0,,karlser01
4,Nikita Kucherov,29,TBL,RW,18,10,18,28,2,16,2.9,6,4,0,3,9,9,0,72,13.9,390,21:39,8,19,0,0,,kucheni01
5,David Pastrnak,26,BOS,RW,18,11,17,28,8,12,3.4,8,3,0,0,8,9,0,93,11.8,354,19:39,3,19,4,6,40.0,pastrda01
6,Jason Robertson,23,DAL,LW,18,12,15,27,11,6,3.6,8,4,0,3,9,6,0,70,17.1,305,16:55,0,12,0,0,,roberja01
7,Nathan MacKinnon,27,COL,C,16,5,21,26,11,16,2.7,3,2,0,0,15,6,0,77,6.5,352,22:00,10,17,144,159,47.5,mackina01
8,Mikko Rantanen,26,COL,RW,16,11,14,25,6,14,3.0,9,2,0,2,4,10,0,50,22.0,345,21:32,8,17,36,48,42.9,rantami01
9,Matthew Tkachuk,25,FLA,LW,16,7,17,24,9,37,2.6,7,0,0,0,11,6,0,74,9.5,340,21:15,4,14,6,8,42.9,tkachma01
10,Sidney Crosby,35,PIT,C,18,9,14,23,-3,12,2.2,8,1,0,1,10,4,0,48,18.8,363,20:10,10,23,190,182,51.1,crosbsi01
11,Nick Suzuki,23,MTL,C,18,11,12,23,4,4,2.9,7,3,1,0,10,2,0,40,27.5,373,20:42,10,9,115,123,48.3,suzukni01
12,Jesper Bratt,24,NJD,W,18,7,15,22,11,4,2.6,6,1,0,2,8,7,0,46,15.2,308,17:06,5,5,0,0,,brattje01
13,Jack Eichel,26,VEG,C,19,10,12,22,12,0,2.9,9,1,0,2,7,5,0,69,14.5,348,18:19,13,14,87,118,42.4,eicheja01
14,Roope Hintz,26,DAL,LW,17,8,14,22,12,6,2.8,6,1,1,2,8,6,0,37,21.6,281,16:31,13,12,56,58,49.1,hintzro01
